sample,ploidy,cellularity
HRR227385,3.8,1
HRR227386,2.04,1
HRR227387,2.92,1
HRR227388,3.92,1
HRR227389,4.88,1
HRR227390,4,1
HRR227391,4.64,1
HRR227392,4,1
HRR227393,3.24,1
HRR227394,4.92,1
HRR227395,2,1
HRR227396,2.88,1
HRR227397,1.96,1
HRR227398,1.96,1
HRR227399,3.16,1
HRR227400,4.92,1
HRR227401,3.92,1
HRR227402,2,1
HRR227403,2,1
HRR227404,2,1
HRR227405,4,1
HRR227406,4,1
HRR227407,4,1
HRR227408,4.12,1
HRR227409,4,1
HRR227410,3.96,1
HRR227411,4,1
HRR227412,4,1
HRR227413,4,1
HRR227414,1.96,1
HRR227415,4,0.99
HRR227416,4,1
HRR227417,2,1
HRR227418,3.96,1
HRR227419,3.96,1
HRR227420,3.96,1
HRR227421,3.96,1
HRR227422,4,1
HRR227423,3.96,1
HRR227424,3.96,1
HRR227425,2,1
HRR227426,4,1
HRR227427,3.04,1
HRR227428,2.04,1
HRR227429,3.08,1
HRR227430,4,1
HRR227431,2,1
HRR227432,1.96,1
HRR227433,4,1
HRR227434,4,1
HRR227435,3.88,1
HRR227436,2,1
HRR227437,4.04,1
HRR227438,4,1
HRR227439,2.04,1
HRR227440,4.04,1
HRR227441,2,1
HRR227442,4.04,1
HRR227443,4.04,1
HRR227444,2,1
HRR227445,4,1
HRR227446,4,1
HRR227447,4,1
HRR227448,3.92,1
HRR227449,4,1
HRR227450,3.96,1
HRR227451,4,1
HRR227452,4,1
HRR227453,4,1
HRR227454,3.96,1
HRR227455,3,1
HRR227456,4.92,1
HRR227457,3.4,1
HRR227458,4.92,1
HRR227459,3.96,1
HRR227460,4,1
HRR227461,4.04,1
HRR227462,2,1
HRR227463,3.92,1
HRR227464,1.96,1
HRR227465,2,1
HRR227466,3.96,1
HRR227467,4.88,1
HRR227468,4,1
HRR227469,4,1
HRR227470,2,1
HRR227471,3.96,1
HRR227472,3.96,1
HRR227473,2,1
HRR227474,2,1
HRR227475,2,1
HRR227476,2,1
HRR227477,2,1
HRR227478,2,1
HRR227479,2,1
HRR227480,2,1
HRR227481,2,1
HRR227482,2,1
HRR227483,2,1
HRR227484,2,1
HRR227485,2,1
HRR227486,2,1
HRR227487,2,1
HRR227488,2,1
HRR227489,2,1
HRR227490,2,1
HRR227491,2,1
HRR227492,2,1
HRR227493,2,1
HRR227494,2,1
HRR227495,2,1
HRR227496,2,1
HRR227497,2,1
HRR227498,2,1
HRR227499,2,1
HRR227500,2,1
HRR227501,2,1
HRR227502,2,1
HRR227503,2,1
HRR227504,2,1
HRR227505,2,1
HRR227506,2,1
HRR227507,2,1
HRR227508,1.96,1
HRR227509,2,1
HRR227510,2,1
HRR227511,2,1
HRR227512,2,1
HRR227513,2,1
HRR227514,2,1
HRR227515,2,1
HRR227516,2,1
HRR227517,2,1
HRR227518,2,1
HRR227519,2,1
HRR227520,2,1
HRR227521,2,1
HRR227522,2,1
HRR227523,2,1
HRR227524,2,1
HRR227525,2,1
HRR227526,2,1
HRR227527,2,1
HRR227528,2,1
HRR227529,2,1
HRR227530,2,1
HRR227531,2,1
HRR227532,2,1
HRR227533,2,1
HRR227534,2,1
HRR227535,2,1
HRR227536,2.04,1
HRR227537,2,1
HRR227538,2,1
HRR227539,2,1
HRR227540,2,1
HRR227541,2,1
HRR227542,2,1
HRR227543,2,1
HRR227544,2,1
HRR227545,2,1
HRR227546,2,1
